lot_id,substrate_id,pixel_id,session_id,sweep_id,sweep_direction,sequence_index,target_suns,reference_detector_id,reference_signal_raw,reference_signal_unit,reference_dark_raw,calibrated_suns,calibration_relative_u_1sigma,calibration_correlation_group,dut_temperature_K,dut_temperature_u_K,voc_V,voc_u_V,anchor_flag,prepost_anchor_pair_id,qc_status,deviation_note,source_spectrum_id,spectral_mismatch_factor,spectral_mismatch_u_rel
LOT1,S01,A,SES01,SW-ascending,ascending,1,0.05,REF1,5000.0,count,100,0.05005002500833542,0.001,smooth_shape,300.0420735492404,0.05,0.7775858088946244,0.0003,false,,PASS,,SPEC-A,1.002,0.002
LOT1,S01,A,SES01,SW-ascending,ascending,2,0.06296493419231937,REF1,6296.493419231937,count,100,0.06301316017921521,0.001,smooth_shape,300.04546487134127,0.05,0.7828014606569651,0.0003,false,,PASS,,SPEC-A,1.002,0.002
LOT1,S01,A,SES01,SW-ascending,ascending,3,0.07929165875686217,REF1,7929.165875686217,count,100,0.07933627286145348,0.001,smooth_shape,300.007056000403,0.05,0.7880767154885923,0.0003,false,,PASS,,SPEC-A,1.002,0.002
LOT1,S01,A,SES01,SW-ascending,ascending,4,0.0998518815125134,REF1,9985.18815125134,count,100,0.09989089377281525,0.001,smooth_shape,299.9621598752346,0.05,0.793411573389506,0.0003,false,,PASS,,SPEC-A,1.002,0.002
LOT1,S01,A,SES01,SW-ascending,ascending,5,0.12574334296829356,REF1,12574.334296829356,count,100,0.1257747827338426,0.001,smooth_shape,299.95205378626684,0.05,0.7988060343597061,0.0003,false,,PASS,,SPEC-A,1.002,0.002
LOT1,S01,A,SES01,SW-ascending,ascending,6,0.15834842630241697,REF1,15834.842630241697,count,100,0.15837069561564013,0.001,smooth_shape,299.9860292250901,0.05,0.8042600983991927,0.0003,false,,PASS,,SPEC-A,1.002,0.002
LOT1,S01,A,SES01,SW-ascending,ascending,7,0.19940796483178033,REF1,19940.796483178034,count,100,0.19942042821905911,0.001,smooth_shape,300.0328493299359,0.05,0.8097737655079656,0.0003,false,,PASS,,SPEC-A,1.002,0.002
LOT1,S01,A,SES01,SW-ascending,ascending,8,0.2511141876611476,REF1,25111.418766114763,count,100,0.25111811135098355,0.001,smooth_shape,300.0494679123312,0.05,0.8153470356860252,0.0003,false,,PASS,,SPEC-A,1.002,0.002
LOT1,S01,A,SES01,SW-ascending,ascending,9,0.316227766016838,REF1,31622.7766016838,count,100,0.316227766016838,0.001,smooth_shape,300.0206059242621,0.05,0.8209799089333711,0.0003,false,,PASS,,SPEC-A,1.002,0.002
LOT1,S01,A,SES01,SW-ascending,ascending,10,0.39822520954068735,REF1,39822.520954068736,count,100,0.39823143185819815,0.001,smooth_shape,299.9727989444555,0.05,0.8266723852500035,0.0003,false,,PASS,,SPEC-A,1.002,0.002
LOT1,S01,A,SES01,SW-ascending,ascending,11,0.5014844822490394,REF1,50148.44822490394,count,100,0.5015158260086623,0.001,smooth_shape,299.95000048967245,0.05,0.8324244646359225,0.0003,false,,PASS,,SPEC-A,1.002,0.002
LOT1,S01,A,SES01,SW-ascending,ascending,12,0.6315187484656023,REF1,63151.87484656023,count,100,0.6316075620341629,0.001,smooth_shape,299.9731713541,0.05,0.8382361470911278,0.0003,false,,PASS,,SPEC-A,1.002,0.002
LOT1,S01,A,SES01,SW-ascending,ascending,13,0.7952707287670506,REF1,79527.07287670506,count,100,0.7954695713035238,0.001,smooth_shape,300.0210083518413,0.05,0.8441074326156196,0.0003,false,,PASS,,SPEC-A,1.002,0.002
LOT1,S01,A,SES01,SW-ascending,ascending,14,1.0014833820379043,REF1,100148.33820379044,count,100,1.001874662901081,0.001,smooth_shape,300.04953036778477,0.05,0.8500383212093978,0.0003,false,,PASS,,SPEC-A,1.002,0.002
LOT1,S01,A,SES01,SW-ascending,ascending,15,1.2611667048943616,REF1,126116.67048943616,count,100,1.2618763107237938,0.001,smooth_shape,300.03251439200784,0.05,0.8560288128724625,0.0003,false,,PASS,,SPEC-A,1.002,0.002
