component_id,target_suns,shape_loading
responsivity_scale,0.05,1
responsivity_scale,0.06296493419231937,1
responsivity_scale,0.07929165875686217,1
responsivity_scale,0.0998518815125134,1
responsivity_scale,0.12574334296829356,1
responsivity_scale,0.15834842630241697,1
responsivity_scale,0.19940796483178033,1
responsivity_scale,0.2511141876611476,1
responsivity_scale,0.316227766016838,1
responsivity_scale,0.39822520954068735,1
responsivity_scale,0.5014844822490394,1
responsivity_scale,0.6315187484656023,1
responsivity_scale,0.7952707287670506,1
responsivity_scale,1.0014833820379043,1
responsivity_scale,1.2611667048943616,1
responsivity_scale,1.5881855715843545,1
responsivity_scale,2.0,1
linearity_stretch,0.05,-0.9999999999999998
linearity_stretch,0.06296493419231937,-0.8749999999999998
linearity_stretch,0.07929165875686217,-0.7499999999999999
linearity_stretch,0.0998518815125134,-0.6249999999999999
linearity_stretch,0.12574334296829356,-0.4999999999999999
linearity_stretch,0.15834842630241697,-0.37499999999999983
linearity_stretch,0.19940796483178033,-0.2499999999999998
linearity_stretch,0.2511141876611476,-0.1249999999999999
linearity_stretch,0.316227766016838,1.20385937077668e-16
linearity_stretch,0.39822520954068735,0.12500000000000008
linearity_stretch,0.5014844822490394,0.25000000000000006
linearity_stretch,0.6315187484656023,0.3750000000000001
linearity_stretch,0.7952707287670506,0.5
linearity_stretch,1.0014833820379043,0.625
linearity_stretch,1.2611667048943616,0.7500000000000001
linearity_stretch,1.5881855715843545,0.875
linearity_stretch,2.0,1.0
spectral_shape,0.05,0.9999999999999993
spectral_shape,0.06296493419231937,0.6249999999999996
spectral_shape,0.07929165875686217,0.29999999999999993
spectral_shape,0.0998518815125134,0.02499999999999991
spectral_shape,0.12574334296829356,-0.2000000000000001
spectral_shape,0.15834842630241697,-0.3750000000000001
spectral_shape,0.19940796483178033,-0.5000000000000001
spectral_shape,0.2511141876611476,-0.575
spectral_shape,0.316227766016838,-0.5999999999999999
spectral_shape,0.39822520954068735,-0.575
spectral_shape,0.5014844822490394,-0.49999999999999983
spectral_shape,0.6315187484656023,-0.3749999999999998
spectral_shape,0.7952707287670506,-0.1999999999999999
spectral_shape,1.0014833820379043,0.025000000000000088
spectral_shape,1.2611667048943616,0.30000000000000043
spectral_shape,1.5881855715843545,0.6250000000000001
spectral_shape,2.0,1.0
