sweep_id,sweep_direction,sequence_index,target_suns,calibrated_suns,calibration_relative_u_1sigma,calibration_correlation_group,voc_V,voc_u_V,anchor_flag,qc_status,source_spectrum_id,spectral_mismatch_u_rel
SYN,ascending,1,0.05,0.05,0,,-0.07241419110537566,0.0005,false,PASS,SYN,0
SYN,ascending,2,0.06296493419231937,0.06296493419231937,0,,-0.0671985393430349,0.0005,false,PASS,SYN,0
SYN,ascending,3,0.07929165875686217,0.07929165875686217,0,,-0.061923284511407696,0.0005,false,PASS,SYN,0
SYN,ascending,4,0.0998518815125134,0.0998518815125134,0,,-0.056588426610494034,0.0005,false,PASS,SYN,0
SYN,ascending,5,0.12574334296829356,0.12574334296829356,0,,-0.05119396564029391,0.0005,false,PASS,SYN,0
SYN,ascending,6,0.15834842630241697,0.15834842630241697,0,,-0.04573990160080733,0.0005,false,PASS,SYN,0
SYN,ascending,7,0.19940796483178033,0.19940796483178033,0,,-0.04022623449203429,0.0005,false,PASS,SYN,0
SYN,ascending,8,0.2511141876611476,0.2511141876611476,0,,-0.03465296431397479,0.0005,false,PASS,SYN,0
SYN,ascending,9,0.316227766016838,0.316227766016838,0,,-0.02902009106662883,0.0005,false,PASS,SYN,0
SYN,ascending,10,0.39822520954068735,0.39822520954068735,0,,-0.023327614749996416,0.0005,false,PASS,SYN,0
SYN,ascending,11,0.5014844822490394,0.5014844822490394,0,,-0.017575535364077542,0.0005,false,PASS,SYN,0
SYN,ascending,12,0.6315187484656023,0.6315187484656023,0,,-0.01176385290887221,0.0005,false,PASS,SYN,0
SYN,ascending,13,0.7952707287670506,0.7952707287670506,0,,-0.005892567384380423,0.0005,false,PASS,SYN,0
SYN,ascending,14,1.0014833820379043,1.0014833820379043,0,,3.83212093978306e-05,0.0005,false,PASS,SYN,0
SYN,ascending,15,1.2611667048943616,1.2611667048943616,0,,0.006028812872462536,0.0005,false,PASS,SYN,0
SYN,ascending,16,1.5881855715843545,1.5881855715843545,0,,0.012078907604813697,0.0005,false,PASS,SYN,0
SYN,ascending,17,2.0,2.0,0,,0.01818860540645132,0.0005,false,PASS,SYN,0
