wavelength_nm,sample_counts,background_counts,dark_counts,throughput_true,throughput_est,true_photon_density_per_nm
800.0,122.0833991020862,128.56811326001707,77.52956173766454,0.166391839582758,0.1661422518233838,6.666557087458129e-06
801.0,148.22158525013324,134.3659563353897,98.27898675771551,0.1665218098853212,0.1662727408353927,7.95594434328914e-06
802.0,123.00712725844608,154.4600895321248,80.2478726475553,0.1666517768654257,0.1664032276439292,9.482277136566796e-06
803.0,147.8402382378103,117.28682328613618,81.34657062365422,0.1667817371898859,0.1665337089207221,1.1286722796132024e-05
804.0,136.46826340617835,132.93963025499303,90.81378644743003,0.1669116875139311,0.1666641813258748,1.34171689450159e-05
805.0,118.6543586382589,152.64546876869528,85.46059921557148,0.1670416244813357,0.1667946415079954,1.5929245897073966e-05
806.0,115.3533534833807,146.89314775313986,76.722448132905,0.1671715447245498,0.1669250861043273,1.8887492410231094e-05
807.0,136.34912899948827,138.19157198981014,79.1429392587129,0.1673014448648316,0.1670555117408803,2.2366683025748616e-05
808.0,130.5187199655804,131.83007885107992,81.9081379630493,0.1674313215123811,0.1671859150325644,2.6453337271967823e-05
809.0,145.9227052996519,129.42481680006082,104.33813665062463,0.1675611712664745,0.1673162925833237,3.124743325430837e-05
810.0,128.3503821260269,135.69116777811362,94.67546860485338,0.1676909907156,0.1674466409862715,3.686435060481498e-05
811.0,132.11560607233864,127.33780415186324,97.16422819977429,0.1678207764375945,0.1675769568238273,4.343707043860392e-05
812.0,146.3857583868619,132.7653045318065,93.75395795109554,0.1679505249997821,0.1677072366678539,5.111866287597739e-05
813.0,128.23211057900542,125.69334242941204,98.52146251526796,0.1680802329591132,0.1678374770797965,6.00850958528004e-05
814.0,114.87204350485658,139.7057721186701,79.38481347449603,0.1682098968623046,0.1679676746108228,7.053840237349202e-05
815.0,161.571129626284,127.01513206196152,101.68261509239314,0.1683395132459813,0.1680978258019639,8.271024707603266e-05
816.0,138.50652097354902,160.19429350027744,73.77646917518771,0.1684690786368192,0.1682279271842563,9.686593699263198e-05
817.0,146.44680088984103,150.190758819073,76.38581210513226,0.1685985895516887,0.1683579752788856,0.0001133089257185
818.0,139.0448548664121,134.61615324365124,84.06713370218496,0.1687280424977994,0.1684879665973311,0.0001323858648603
819.0,116.68661844965077,139.04575158545583,102.2373778976246,0.1688574339728465,0.1686178976415108,0.0001544922616401
820.0,138.84107207657485,135.03939680024385,90.4576672232686,0.1689867604651575,0.1687477649039282,0.0001800788068948
821.0,132.550136569909,127.88941450266395,101.6017041918666,0.1691160184538407,0.1688775648678208,0.0002096584434493
822.0,139.654592806029,122.4936669578384,98.99365017319369,0.169245204408934,0.1690072940073078,0.0002438142509694
823.0,151.23015902260627,131.9152051327649,106.61713950166614,0.1693743147915558,0.1691369487875408,0.000283208229921
824.0,136.14534647310072,142.39493799210845,73.67966449237538,0.1695033460540559,0.1692665256648546,0.0003285910742044
